trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
54,0,54,0,92.24365160000002,,92.2321558000001,92.24365160000002,93.2429125000001,93.2429125000001,93.86054310000009,down,0,0.6104946000000382,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
55,0,55,0,93.87584850000007,,93.86406620000002,93.87584850000007,94.8749365000001,94.8749365000001,95.19272430000001,up,1,0.3061083999998573,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
56,0,56,0,95.20777369999996,,95.1964719,95.20777369999996,96.20722139999998,96.22331290000011,97.04110340000011,up,1,0.8245197999999618,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
57,0,57,0,97.05634000000009,,97.04460480000012,97.05634000000009,98.05563550000011,98.05563550000011,98.85640940000008,up,1,0.796651699999984,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
58,0,58,0,98.87098630000014,,98.86125030000017,98.87098630000014,99.87087250000013,99.87087250000013,100.37183300000015,down,0,0.4989343999998255,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
59,0,59,0,100.38707060000002,,100.37559210000018,100.38707060000002,101.38676970000006,101.38676970000006,102.10355249999998,up,0,0.7064335000000028,None,-2,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
60,0,60,0,102.11944770000014,,102.10591380000005,102.11944770000014,103.10168629999998,103.13553880000018,103.45254850000015,down,1,0.3449443000001793,None,-5,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
61,0,61,0,103.46788360000005,,103.45603030000007,103.46788360000005,104.46703350000007,104.46703350000007,105.1181173,down,0,0.6491819999998825,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
62,0,62,0,105.13298480000003,,105.12166200000001,105.13298480000003,106.13241690000018,106.13241690000018,106.71656959999996,down,1,0.5725239999999303,None,-4,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
63,0,63,0,106.73179670000013,,106.72037650000016,106.73179670000013,107.7310285000001,107.7310285000001,108.21543710000014,down,1,0.47879600000010214,None,-5,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
