stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.023036800092086196,,0.010861600050702691,0.023036800092086196,0.50556580000557,0.50556580000557,0.5231476000044495,0.8060737000778317,1.8957226001657546,right,10.0,1,1,1.3757480999920517,393241,001,2024-09-11_20h43.15.025,untitled,2024.1.5,None,2024-09-11 20h43.20.946950 +0530,
1,2,8.0,1.9039960000663996,,1.8958181000780314,1.9039960000663996,2.4046907001174986,2.4046907001174986,2.4046907001174986,2.704278700053692,3.2103749001398683,left,-8.0,1,1,0.7942349999211729,393241,001,2024-09-11_20h43.15.025,untitled,2024.1.5,None,2024-09-11 20h43.20.946950 +0530,
2,2,6.0,3.2214393001049757,,3.2105055002029985,3.2214393001049757,3.719678900204599,3.719678900204599,3.7364972999785095,4.01984510011971,4.559919500024989,right,6.0,1,1,0.8268710998818278,393241,001,2024-09-11_20h43.15.025,untitled,2024.1.5,None,2024-09-11 20h43.20.946950 +0530,
3,2,4.0,4.569447400048375,,4.560047700069845,4.569447400048375,5.069165599998087,5.069165599998087,5.069165599998087,5.36887350003235,8.053129600128159,right,4.0,1,1,2.9763009999878705,393241,001,2024-09-11_20h43.15.025,untitled,2024.1.5,None,2024-09-11 20h43.20.946950 +0530,
4,2,2.0,8.065831599989906,,8.05321600008756,8.065831599989906,8.56632660003379,8.56632660003379,8.56632660003379,8.882377600064501,10.221191600197926,left,-2.0,1,1,1.638299599988386,393241,001,2024-09-11_20h43.15.025,untitled,2024.1.5,None,2024-09-11 20h43.20.946950 +0530,
5,1,1.0,10.232489900197834,,10.22132010012865,10.232489900197834,10.731004000175744,10.731004000175744,10.747619800036773,11.030679100193083,16.4497510001529,left,-1.0,0,0,5.7035481000784785,393241,001,2024-09-11_20h43.15.025,untitled,2024.1.5,None,2024-09-11 20h43.20.946950 +0530,
6,1,2.0,16.459883000003174,,16.449884800007567,16.459883000003174,16.95903420005925,16.95903420005925,16.95903420005925,17.258819699985906,18.581842200132087,left,-2.0,1,1,1.6169773999135941,393241,001,2024-09-11_20h43.15.025,untitled,2024.1.5,None,2024-09-11 20h43.20.946950 +0530,
7,1,2.0,18.590960700064898,,18.581970900064334,18.590960700064898,19.090140599990264,19.090140599990264,19.10708380001597,19.3903120001778,19.997659800108522,left,-2.0,1,1,0.9032346000894904,393241,001,2024-09-11_20h43.15.025,untitled,2024.1.5,None,2024-09-11 20h43.20.946950 +0530,
8,1,2.0,20.006625200156122,,19.997812600107864,20.006625200156122,20.50612370017916,20.50612370017916,20.50612370017916,20.805733500048518,21.8459365000017,left,-2.0,1,1,1.3350579000543803,393241,001,2024-09-11_20h43.15.025,untitled,2024.1.5,None,2024-09-11 20h43.20.946950 +0530,
9,1,1.0,21.85501529998146,,21.846071500098333,21.85501529998146,22.354299300117418,22.354299300117418,22.354299300117418,22.654648900032043,23.207759000128135,right,1.0,1,1,0.8390701999887824,393241,001,2024-09-11_20h43.15.025,untitled,2024.1.5,None,2024-09-11 20h43.20.946950 +0530,
10,1,1.0,23.220277199987322,,23.20784110017121,23.220277199987322,23.720091600203887,23.720091600203887,23.720091600203887,24.02038240013644,24.87662520003505,right,1.0,1,1,1.1483392000664026,393241,001,2024-09-11_20h43.15.025,untitled,2024.1.5,None,2024-09-11 20h43.20.946950 +0530,
11,0,1.0,24.88580900011584,,24.876778000034392,24.88580900011584,25.385364100104198,25.385364100104198,25.385364100104198,25.685259900055826,27.857340699993074,left,-1.0,0,0,2.4634573999792337,393241,001,2024-09-11_20h43.15.025,untitled,2024.1.5,None,2024-09-11 20h43.20.946950 +0530,
12,0,1.0,27.866743500111625,,27.857502200175077,27.866743500111625,28.366358499974012,28.366358499974012,28.366358499974012,28.666073800064623,29.63904849998653,left,-1.0,0,0,1.2618228001520038,393241,001,2024-09-11_20h43.15.025,untitled,2024.1.5,None,2024-09-11 20h43.20.946950 +0530,
13,0,1.0,29.648874500067905,,29.63918140018359,29.648874500067905,30.148346500005573,30.148346500005573,30.148346500005573,30.447919600177556,34.06567250005901,left,-1.0,1,1,3.9156388000119478,393241,001,2024-09-11_20h43.15.025,untitled,2024.1.5,None,2024-09-11 20h43.20.946950 +0530,
14,0,1.0,34.07762400014326,,34.06578060006723,34.07762400014326,34.57717760000378,34.57717760000378,34.57717760000378,34.877994399983436,35.464381700148806,left,-1.0,1,1,0.8861895001027733,393241,001,2024-09-11_20h43.15.025,untitled,2024.1.5,None,2024-09-11 20h43.20.946950 +0530,
15,5,1.0,35.47698940010741,,35.46446750010364,35.47698940010741,35.97680480009876,35.97680480009876,35.97680480009876,36.27644230006263,36.83123100013472,right,1.0,1,1,0.8376657001208514,393241,001,2024-09-11_20h43.15.025,untitled,2024.1.5,None,2024-09-11 20h43.20.946950 +0530,
