19.6381 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
19.6385 	EXP 	window1: mouseVisible = True
19.6428 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0487 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (5).
0.0892 	EXP 	grating: ori = -10.0
0.0892 	EXP 	fixation: autoDraw = True
0.6298 	INFO 	Keyboard events cleared
0.6294 	EXP 	grating: autoDraw = True
0.6294 	EXP 	grating: tex = 'sin'
0.6408 	EXP 	fixation: autoDraw = False
0.9392 	EXP 	grating: autoDraw = False
7.8837 	DATA 	Keypress: right
7.8872 	EXP 	fixation: autoDraw = False
7.8872 	EXP 	grating: autoDraw = False
7.8872 	EXP 	grating: ori = 12.0
7.8872 	EXP 	fixation: autoDraw = True
8.3842 	INFO 	Keyboard events cleared
8.3836 	EXP 	grating: autoDraw = True
8.4002 	EXP 	fixation: autoDraw = False
8.4434 	DATA 	Keypress: left
8.4506 	EXP 	fixation: autoDraw = False
8.4506 	EXP 	grating: autoDraw = False
8.4506 	EXP 	grating: ori = -14.0
