stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,1,20.0,15.026329599990277,,15.003236099990318,15.026329599990277,15.511086499987869,15.511086499987869,15.527805299992906,,15.519030600000406,left,-20.0,1,1,0.0038687000051140785,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
11,1,20.0,15.527805299992906,,15.51915929999086,15.527805299992906,16.027347099996405,16.027347099996405,16.027347099996405,,16.11746470001526,right,20.0,0,0,0.07421019999310374,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
12,1,20.0,16.127152100001695,,16.117595499992603,16.127152100001695,16.626750600000378,16.626750600000378,16.626750600000378,,16.73004170000786,left,-20.0,1,1,0.09508580001420341,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
13,1,20.0,16.74309249999351,,16.7301218000066,16.74309249999351,17.24301820000983,17.24301820000983,17.24301820000983,17.542064900015248,18.16275650000898,left,-20.0,1,1,0.9057955000025686,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
14,0,20.0,18.175309699989157,,18.16284010000527,18.175309699989157,18.67446569999447,18.67446569999447,18.67446569999447,18.974526600009995,19.445161600015126,right,20.0,1,1,0.7685387000092305,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
15,0,20.0,19.45753519999562,,19.445249500015052,19.45753519999562,19.957315300009213,19.957315300009213,19.957315300009213,20.25682469998719,20.37958730000537,left,-20.0,1,1,0.4167580000066664,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
16,0,20.0,20.39029529999243,,20.37969709999743,20.39029529999243,20.889913899998646,20.889913899998646,20.889913899998646,21.189108199992916,21.29345130000729,right,20.0,1,1,0.3947819000168238,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
17,0,20.0,21.306116899999324,,21.293536100012716,21.306116899999324,21.805788400000893,21.805788400000893,21.805788400000893,,22.07709830001113,left,-20.0,1,1,0.25472399999853224,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
18,0,20.0,22.088621800008696,,22.077188299997943,22.088621800008696,22.588225599989528,22.588225599989528,22.588225599989528,22.88822260001325,23.108901100000367,right,20.0,1,1,0.5117458000022452,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
19,5,20.0,23.121842900000047,,23.108986000006553,23.121842900000047,23.621157299989136,23.621157299989136,23.63747690001037,,23.675486699998146,right,20.0,0,0,0.044033999991370365,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
20,5,20.0,23.687452899990603,,23.675588399986736,23.687452899990603,24.187287600012496,24.187287600012496,24.187287600012496,24.48696489998838,24.540283000009367,left,-20.0,0,0,0.35048160000587814,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
21,5,20.0,24.553358900011517,,24.54037080000853,24.553358900011517,25.053192699997453,25.053192699997453,25.053192699997453,25.35246970001026,27.208399700000882,right,20.0,0,0,2.137756799987983,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
