delay,condition,textbox.text,,,
0.1,exp,671,,,
0.4,unexp,457,,,
0.1,unexp,567,,,
0.4,unexp,490,,,
0.1,unexp,587,,,
0.7,exp,349,,,
0.1,exp,457,,,
0.7,unexp,547,,,
0.4,exp,653,,,
0.4,exp,650,,,
0.7,exp,449,,,
0.1,unexp,100,,,
0.1,unexp,350,,,
0.1,exp,670,,,
0.7,exp,420,,,
0.1,exp,230,,,
0.4,unexp,630,,,
0.4,unexp,490,,,
0.7,unexp,630,,,
0.1,unexp,790,,,
0.1,exp,510,,,
0.7,exp,900,,,
0.4,unexp,660,,,
0.1,exp,530,,,
0.4,exp,790,,,
0.7,exp,620,,,
0.4,unexp,490,,,
0.7,unexp,470,,,
0.1,unexp,640,,,
0.7,exp,700,,,
0.4,unexp,560,,,
0.1,unexp,320,,,
0.4,exp,330,,,
0.1,exp,"570
",,,
0.1,exp,680,,,
0.1,unexp,570,,,
0.7,exp,690,,,
0.4,unexp,990,,,
0.7,unexp,770,,,
0.4,exp,800,,,
0.7,exp,650,,,
0.1,unexp,780,,,
0.4,unexp,540,,,
0.7,exp,320,,,
0.1,unexp,520,,,
0.7,unexp,420,,,
0.1,exp,360,,,
0.4,unexp,450,,,
0.1,exp,560,,,
0.1,exp,590,,,
0.1,exp,780,,,
0.4,unexp,670,,,
0.1,unexp,900,,,
0.7,exp,780,,,
0.1,unexp,510,,,
0.4,unexp,310,,,
0.7,unexp,5=370,,,
0.4,exp,560,,,
0.7,exp,890,,,
0.1,exp,520,,,
0.4,unexp,450,,,
0.4,exp,570,,,
0.1,unexp,960,,,
0.7,exp,350,,,
0.7,unexp,460,,,
0.4,unexp,210,,,
0.1,unexp,650,,,
0.7,exp,430,,,
0.1,exp,370,,,
0.7,exp,790,,,
0.1,exp,590,,,
0.1,unexp,360,,,
0.1,exp,780,,,
0.4,unexp,530,,,
0.7,exp,990,,,
0.4,exp,770,,,
0.1,unexp,430,,,
0.4,unexp,610,,,
0.7,unexp,120,,,
0.1,exp,250,,,
0.7,exp,580,,,
0.1,exp,430,,,
0.7,unexp,"810
",,,
0.1,unexp,760,,,
0.4,exp,640,,,
0.4,unexp,"320
",,,
0.7,exp,890,,,
0.4,unexp,260,,,
0.1,unexp,540,,,
0.4,unexp,950,,,
0.1,exp,740,,,
0.7,exp,660,,,
0.1,exp,590,,,
0.1,unexp,570,,,
0.4,exp,390,,,
0.1,unexp,440,,,
0.7,exp,450,,,
0.4,unexp,890,,,
0.7,unexp,770,,,
0.4,unexp,690,,,
0.1,unexp,820,,,
0.4,unexp,550,,,
0.7,exp,430,,,
0.4,exp,740,,,
0.7,exp,870,,,
0.1,unexp,"690
",,,
0.7,unexp,130,,,
0.1,exp,420,,,
0.1,exp,570,,,
0.4,exp,640,,,
0.1,exp,980,,,
0.7,exp,120,,,
0.4,unexp,190,,,
0.1,unexp,630,,,
0.1,exp,100,,,
0.1,unexp,770,,,
0.7,unexp,650,,,
0.4,unexp,300,,,
0.7,exp,790,,,
0.1,exp,550,,,
0.4,unexp,330,,,
0.4,exp,310,,,
0.7,exp,710,,,
0.1,exp,450,,,
0.1,unexp,670,,,
0.7,exp,650,,,
0.4,unexp,320,,,
0.7,unexp,,,,
0.1,unexp,530,,,
0.1,unexp,530,,,
0.7,unexp,460,,,
0.4,unexp,720,,,
0.1,exp,880,,,
0.1,exp,870,,,
0.7,exp,250,,,
0.1,unexp,200,,,
0.4,exp,200,,,
0.4,unexp,200,,,
0.7,exp,200,,,
0.7,exp,250,,,
