trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.0467426000004707,,0.008287900000141235,5,0.0467426000004707,0.0467426000004707,0.03321510000023409,1.0501505000001998,1.7178248999998686,[0.28888888888888886],[0.25555555555555554],[1],[0],[0],[1.6839493000006769],['target'],3,001,2024-10-10_14h41.33.700,Visual search exp,2024.1.5,None,2024-10-10 14h41.55.527581 +0530,
1,0,1,0,1.7775926000003892,,1.7233085999996547,10,1.7775926000003892,1.7775926000003892,0.03683290000026318,2.781719100000373,3.8292725000001155,[-0.20555555555555555],[-0.3333333333333333],[1],[0],[0],[2.0697565999998915],['target'],3,001,2024-10-10_14h41.33.700,Visual search exp,2024.1.5,None,2024-10-10 14h41.55.527581 +0530,
2,0,2,0,3.886446800000158,,3.833898500000032,10,3.886446800000158,3.886446800000158,0.03795780000018567,4.897709599999871,6.637983499999791,[-0.2],[0.3055555555555556],[1],[0],[0],[2.766732099999899],['target'],3,001,2024-10-10_14h41.33.700,Visual search exp,2024.1.5,None,2024-10-10 14h41.55.527581 +0530,
3,0,3,0,6.671395600000324,,6.6424519000001965,5,6.671395600000324,6.671395600000324,0.01836260000072798,7.670635100000254,9.670890000000327,[-0.48518518518518516],[0.4888888888888889],[1],[0],[0],[3.0106447999996817],['target'],3,001,2024-10-10_14h41.33.700,Visual search exp,2024.1.5,None,2024-10-10 14h41.55.527581 +0530,
4,0,4,0,9.726224699999875,,9.675288000000364,10,9.726224699999875,9.726224699999875,0.03478499999982887,10.735690200000136,11.71515079999972,[0.43703703703703706],[0.13148148148148148],[1],[0],[0],[2.0056713000003583],['target'],3,001,2024-10-10_14h41.33.700,Visual search exp,2024.1.5,None,2024-10-10 14h41.55.527581 +0530,
5,0,5,0,11.74938850000035,,11.71940160000031,5,11.74938850000035,11.74938850000035,0.018125900000086403,12.762389999999868,13.396971099999973,[0.2361111111111111],[-0.3277777777777778],[1],[0],[0],[1.6600109000000884],['target'],3,001,2024-10-10_14h41.33.700,Visual search exp,2024.1.5,None,2024-10-10 14h41.55.527581 +0530,
6,0,6,0,13.451695400000062,,13.401239400000122,10,13.451695400000062,13.451695400000062,0.03546970000024885,14.472527400000217,16.343111899999712,[0.287962962962963],[0.10648148148148148],[1],[0],[0],[2.907027399999606],['target'],3,001,2024-10-10_14h41.33.700,Visual search exp,2024.1.5,None,2024-10-10 14h41.55.527581 +0530,
7,0,7,0,16.37611310000011,,16.347548200000347,5,16.37611310000011,16.37611310000011,0.018067299999529496,17.37718980000045,17.911568700000316,[-0.43796296296296294],[-0.11018518518518519],[1],[0],[0],[1.5465129999993223],['target'],3,001,2024-10-10_14h41.33.700,Visual search exp,2024.1.5,None,2024-10-10 14h41.55.527581 +0530,
8,0,8,0,17.965724300000147,,17.915898299999753,10,17.965724300000147,17.965724300000147,0.034659999999348656,18.971358200000395,21.87043640000047,[0.21666666666666667],[0.25],[1],[0],[0],[3.9204336000002513],['target'],3,001,2024-10-10_14h41.33.700,Visual search exp,2024.1.5,None,2024-10-10 14h41.55.527581 +0530,
9,0,9,0,21.92450269999972,,21.874726699999883,10,21.92450269999972,21.92450269999972,0.03444810000019061,22.930805699999837,23.544118900000285,[0.17777777777777778],[-0.362962962962963],[1],[0],[0],[1.635522800000217],['target'],3,001,2024-10-10_14h41.33.700,Visual search exp,2024.1.5,None,2024-10-10 14h41.55.527581 +0530,
