trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.0932939999993323,,0.012488499999562919,10,0.0932939999993323,0.0932939999993323,0.07117030000063096,1.1011146000000736,2.360809199999494,[-0.2601851851851852],[0.005555555555555556],[1],[0],[0],[2.2888907999995354],['target'],2,001,2024-10-10_14h32.38.856,Visual search exp,2024.1.5,None,2024-10-10 14h32.52.917479 +0530,
1,0,1,0,2.4235922999996546,,2.367287299999589,10,2.4235922999996546,2.4235922999996546,0.03775469999982306,3.4246306999993976,6.636501399999361,[-0.2972222222222222],[0.4148148148148148],[1],[0],[0],[4.232063399999788],['target'],2,001,2024-10-10_14h32.38.856,Visual search exp,2024.1.5,None,2024-10-10 14h32.52.917479 +0530,
2,0,2,0,6.671800099999928,,6.640885299999354,5,6.671800099999928,6.671800099999928,0.019728899999790883,7.670934400000078,8.822826999999961,[-0.04259259259259259],[-0.16018518518518518],[1],[0],[0],[2.1627842999996574],['target'],2,001,2024-10-10_14h32.38.856,Visual search exp,2024.1.5,None,2024-10-10 14h32.52.917479 +0530,
3,0,3,0,8.858729999999923,,8.827547399999276,5,8.858729999999923,8.858729999999923,0.01937510000061593,9.86368450000009,10.824160699999993,[0.3333333333333333],[-0.3351851851851852],[1],[0],[0],[1.9776907999994364],['target'],2,001,2024-10-10_14h32.38.856,Visual search exp,2024.1.5,None,2024-10-10 14h32.52.917479 +0530,
4,0,4,0,10.90360099999998,,10.828823400000147,10,10.90360099999998,10.90360099999998,0.05075680000027205,11.913292399999591,12.822575999999572,[-0.29074074074074074],[-0.023148148148148147],[1],[0],[0],[1.9433418000007805],['target'],2,001,2024-10-10_14h32.38.856,Visual search exp,2024.1.5,None,2024-10-10 14h32.52.917479 +0530,
5,0,5,0,12.867637599999398,,12.82738849999987,5,12.867637599999398,12.867637599999398,0.0243718000001536,13.876497899999777,14.294861100000162,[0.20555555555555555],[-0.03333333333333333],[1],[0],[0],[1.4436986000000616],[],2,001,2024-10-10_14h32.38.856,Visual search exp,2024.1.5,None,2024-10-10 14h32.52.917479 +0530,
6,0,6,0,14.349725999999464,,14.298850299999685,10,14.349725999999464,14.349725999999464,0.03430800000023737,15.357051599999977,17.08663720000004,[-0.044444444444444446],[0.42962962962962964],[1],[0],[0],[2.7537444999998115],['target'],2,001,2024-10-10_14h32.38.856,Visual search exp,2024.1.5,None,2024-10-10 14h32.52.917479 +0530,
7,0,7,0,17.152185799999643,,17.0908888999993,10,17.152185799999643,17.152185799999643,0.042926600000100734,18.159367700000075,18.621011899999758,[0.19074074074074074],[0.037037037037037035],[1],[0],[0],[1.4875728999995772],['target'],2,001,2024-10-10_14h32.38.856,Visual search exp,2024.1.5,None,2024-10-10 14h32.52.917479 +0530,
8,0,8,0,18.678364200000033,,18.624802799999998,10,18.678364200000033,18.678364200000033,0.03731710000010935,19.684443600000122,20.513901299999816,[0.2935185185185185],[0.3851851851851852],[1],[0],[0],[1.85223330000008],['target'],2,001,2024-10-10_14h32.38.856,Visual search exp,2024.1.5,None,2024-10-10 14h32.52.917479 +0530,
9,0,9,0,20.558140399999502,,20.516896299999644,10,20.558140399999502,20.558140399999502,0.027193099999749393,21.565571699999964,23.29803549999997,[-0.22314814814814815],[-0.37777777777777777],[1],[0],[0],[2.7541182000004483],['target'],2,001,2024-10-10_14h32.38.856,Visual search exp,2024.1.5,None,2024-10-10 14h32.52.917479 +0530,
10,0,10,0,23.372621399999844,,23.303606800000125,10,23.372621399999844,23.372621399999844,0.04958459999943443,24.383635799999865,25.380460800000037,[0.14814814814814814],[-0.12685185185185185],[1],[0],[0],[2.028041700000358],['target'],2,001,2024-10-10_14h32.38.856,Visual search exp,2024.1.5,None,2024-10-10 14h32.52.917479 +0530,
11,0,11,0,25.419787699999688,,25.384201500000017,5,25.419787699999688,25.419787699999688,0.022154700000101002,26.423155999999835,27.05845330000011,[0.04814814814814815],[-0.1],[1],[0],[0],[1.652310800000123],['target'],2,001,2024-10-10_14h32.38.856,Visual search exp,2024.1.5,None,2024-10-10 14h32.52.917479 +0530,
12,0,12,0,27.113743999999315,,27.069296900000154,5,27.113743999999315,27.113743999999315,0.029422499999782303,28.115575299999364,28.833162099999754,[0.2712962962962963],[0.21574074074074073],[1],[0],[0],[1.7355489999999918],['target'],2,001,2024-10-10_14h32.38.856,Visual search exp,2024.1.5,None,2024-10-10 14h32.52.917479 +0530,
13,0,13,0,28.874873799999477,,28.838836099999753,5,28.874873799999477,28.874873799999477,0.021612699999423057,29.8852868999993,30.786523799999486,[-0.19444444444444445],[-0.3787037037037037],[1],[0],[0],[1.9268049000002065],['target'],2,001,2024-10-10_14h32.38.856,Visual search exp,2024.1.5,None,2024-10-10 14h32.52.917479 +0530,
14,0,14,0,30.83826080000017,,30.793068199999652,5,30.83826080000017,30.83826080000017,0.028117000000747794,31.84203399999933,32.995984000000135,[0.3851851851851852],[-0.22314814814814815],[1],[0],[0],[2.175657499999943],['target'],2,001,2024-10-10_14h32.38.856,Visual search exp,2024.1.5,None,2024-10-10 14h32.52.917479 +0530,
15,0,15,0,33.03565919999983,,33.0006813,5,33.03565919999983,33.03565919999983,0.0206439000003229,34.04363620000004,35.05183699999998,[0.3425925925925926],[0.42962962962962964],[1],[0],[0],[2.030664500000057],['target'],2,001,2024-10-10_14h32.38.856,Visual search exp,2024.1.5,None,2024-10-10 14h32.52.917479 +0530,
