trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.08351119999952061,,0.011419299999943178,10,0.08351119999952061,0.08351119999952061,0.06516540000029636,1.0826709000002666,4.566941699999916,[-0.35462962962962963],[-0.3537037037037037],[1],[0],[0],[4.500851499999953],['target'],4,001,2024-10-10_15h19.42.268,Visual search exp,2024.1.5,None,2024-10-10 15h19.55.350684 +0530,
1,0,1,0,4.651105099999768,,4.577144099999714,10,4.651105099999768,4.651105099999768,0.059575999999651685,5.651217999999972,5.916953099999773,[0.3101851851851852],[0.03981481481481482],[1],[0],[0],[1.2814312000000427],['target'],4,001,2024-10-10_15h19.42.268,Visual search exp,2024.1.5,None,2024-10-10 15h19.55.350684 +0530,
2,0,2,0,5.971839900000305,,5.921722899999622,10,5.971839900000305,5.971839900000305,0.03537780000078783,6.977556900000309,9.85778979999941,[-0.2175925925925926],[0.4444444444444444],[1],[0],[0],[3.901328199999625],['target'],4,001,2024-10-10_15h19.42.268,Visual search exp,2024.1.5,None,2024-10-10 15h19.55.350684 +0530,
3,0,3,0,9.888457099999869,,9.862013199999637,5,9.888457099999869,9.888457099999869,0.01724610000019311,10.890635799999473,12.191261099999792,[-0.3861111111111111],[-0.2574074074074074],[1],[0],[0],[2.3124723999999333],['target'],4,001,2024-10-10_15h19.42.268,Visual search exp,2024.1.5,None,2024-10-10 15h19.55.350684 +0530,
4,0,4,0,12.24391839999953,,12.195661699999619,10,12.24391839999953,12.24391839999953,0.03427350000038132,13.24607339999966,13.99611779999941,[0.08888888888888889],[-0.23333333333333334],[1],[0],[0],[1.766747700000451],['target'],4,001,2024-10-10_15h19.42.268,Visual search exp,2024.1.5,None,2024-10-10 15h19.55.350684 +0530,
5,0,5,0,14.052501199999824,,14.000387999999475,10,14.052501199999824,14.052501199999824,0.03500689999964379,15.053558099999464,15.305080799999814,[0.004629629629629629],[0.13055555555555556],[1],[0],[0],[1.2702668000001722],['target'],4,001,2024-10-10_15h19.42.268,Visual search exp,2024.1.5,None,2024-10-10 15h19.55.350684 +0530,
6,0,6,0,15.356434100000115,,15.309367500000008,10,15.356434100000115,15.356434100000115,0.033329800000501564,16.358969199999592,16.943356499999936,[-0.2962962962962963],[-0.16203703703703703],[1],[0],[0],[1.601232500000151],['target'],4,001,2024-10-10_15h19.42.268,Visual search exp,2024.1.5,None,2024-10-10 15h19.55.350684 +0530,
7,0,7,0,16.974785299999894,,16.947603399999934,5,16.974785299999894,16.974785299999894,0.017146400000456197,17.97656349999943,19.010956299999634,[-0.3888888888888889],[-0.4083333333333333],[1],[0],[0],[2.0467007999995985],['target'],4,001,2024-10-10_15h19.42.268,Visual search exp,2024.1.5,None,2024-10-10 15h19.55.350684 +0530,
8,0,8,0,19.043416399999842,,19.015552199999547,5,19.043416399999842,19.043416399999842,0.016857900000104564,20.046282899999824,21.11351949999971,[-0.35],[0.4685185185185185],[1],[0],[0],[2.0816240000003745],['target'],4,001,2024-10-10_15h19.42.268,Visual search exp,2024.1.5,None,2024-10-10 15h19.55.350684 +0530,
9,0,9,0,21.182532199999514,,21.120841400000245,10,21.182532199999514,21.182532199999514,0.04287139999996725,22.19786430000022,23.454875999999786,[0.49722222222222223],[0.011111111111111112],[1],[0],[0],[2.292418799999723],['target'],4,001,2024-10-10_15h19.42.268,Visual search exp,2024.1.5,None,2024-10-10 15h19.55.350684 +0530,
