trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
21,0,21,0,40.33599159999994,,40.28366340000002,10,40.33599159999994,40.33599159999994,0.0375091999999313,41.35117910000008,42.096928199999866,[0.3712962962962963],[0.002777777777777778],[1],[0],[0],[1.7763455000001613],[],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
22,0,22,0,42.158979300000055,,42.10186699999986,10,42.158979300000055,42.158979300000055,0.041166900000007445,43.17064359999995,44.12683079999988,[0.1648148148148148],[0.35185185185185186],[1],[0],[0],[1.9841576999999688],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
23,0,23,0,44.19643180000003,,44.13216560000001,10,44.19643180000003,44.19643180000003,0.0482507000001533,45.21121500000004,46.51109889999998,[0.28888888888888886],[-0.08148148148148149],[1],[0],[0],[2.3315950999999586],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
24,0,24,0,46.546648000000005,,46.515484600000036,5,46.546648000000005,46.546648000000005,0.02106539999999768,47.54696319999994,47.78131029999986,[0.46111111111111114],[-0.016666666666666666],[1],[0],[0],[1.2453816999998253],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
25,0,25,0,47.837558899999976,,47.78584060000003,10,47.837558899999976,47.837558899999976,0.036633299999948576,48.85323840000001,50.2249491,[0.026851851851851852],[-0.22407407407407406],[1],[0],[0],[2.4030628999998953],[],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
26,0,26,0,50.26101820000008,,50.22983320000003,5,50.26101820000008,50.26101820000008,0.01970430000005763,51.260365200000024,52.27796220000005,[0.37407407407407406],[0.3277777777777778],[1],[0],[0],[2.0289505000000645],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
27,0,27,0,52.31221359999995,,52.282748099999935,5,52.31221359999995,52.31221359999995,0.018953000000010434,53.31316489999995,54.52982670000006,[0.11481481481481481],[0.4759259259259259],[1],[0],[0],[2.2286209000001236],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
28,0,28,0,54.58466679999992,,54.535193400000026,10,54.58466679999992,54.58466679999992,0.034952799999928175,55.595084099999895,56.240210199999865,[-0.17592592592592593],[0.15462962962962962],[1],[0],[0],[1.6705962999999429],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
29,0,29,0,56.27280270000006,,56.244785999999976,5,56.27280270000006,56.27280270000006,0.018125499999996464,57.27474170000005,57.59288719999995,[0.37222222222222223],[0.3490740740740741],[1],[0],[0],[1.3305521000002045],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
30,0,30,0,57.653324899999916,,57.59775300000001,10,57.653324899999916,57.653324899999916,0.04044969999995374,58.66636059999996,59.36616120000008,[-0.28425925925925927],[0.35555555555555557],[1],[0],[0],[1.728526200000033],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
31,0,31,0,59.422563599999876,,59.370905600000015,10,59.422563599999876,59.422563599999876,0.03690290000008645,60.43304740000008,61.83988720000002,[-0.04537037037037037],[-0.3425925925925926],[1],[0],[0],[2.4326583999998093],[],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
32,0,32,0,61.89439470000002,,61.84433530000001,10,61.89439470000002,61.89439470000002,0.03527950000011515,62.89501879999989,63.199990899999875,[0.36203703703703705],[0.017592592592592594],[1],[0],[0],[1.3210707999999158],[],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
