num_distr,mouse.time
10,[2.5347744000000603]
5,[1.946219100000235]
5,[1.7628091999999924]
5,[1.648145900000145]
5,[2.7293588999996246]
5,[1.9963401999998496]
5,[2.2771834000000126]
5,[3.3954106000001048]
5,[2.1465604999998504]
10,[2.7820959000000585]
10,[1.4949440999998842]
10,[2.7316412000000128]
10,[3.083068599999933]
10,[1.334729199999856]
5,[2.262618199999906]
10,[2.26184319999993]
10,[1.7860109000002922]
5,[1.3455241999999998]
10,[4.500851499999953]
10,[1.2814312000000427]
10,[3.901328199999625]
5,[2.3124723999999333]
10,[1.766747700000451]
10,[1.2702668000001722]
10,[1.601232500000151]
5,[2.0467007999995985]
5,[2.0816240000003745]
10,[2.292418799999723]
5,[1.874974000000293]
10,[3.0499083999993672]
10,[1.7854803999998694]
5,[1.6474497999997766]
5,[1.7975532000000385]
5,[3.411644400000114]
5,[1.7466850000000704]
5,[1.9293676999996023]
10,[1.8512446000004275]
10,[3.4388835999998264]
5,[2.447346899999502]
10,[2.1363320999998905]
5,[2.1802189]
5,[1.4453389000000243]
5,[2.147143500000311]
5,[1.2476532000000589]
5,[2.6987181000004057]
10,[2.3143503000001147]
5,[1.668580500000644]
10,[2.5544328000005407]
5,[2.464344600000004]
5,[2.3982146999996985]
10,[4.90277739999965]
10,[2.0206130999995366]
5,[1.7637212999998155]
10,[3.755878400000256]
5,[2.0135283999998137]
5,[1.1805556999997862]
10,[1.1034546999999293]
10,[1.5960555000001477]
10,[2.7536324000002423]
10,[1.9305587999997442]
5,[2.6959867000005033]
5,[1.571567199999663]
10,[2.4269955999998274]
10,[3.5608689999999115]
5,[2.014981899999839]
5,[2.5463938999992024]
5,[2.3528583999996044]
10,[3.0694551999995383]
5,[1.7976643000001786]
5,[1.9144155999993018]
10,[2.2840822999996817]
10,[4.017696099999739]
10,[1.3740397000001394]
10,[2.360110800000257]
5,[2.4286368000002767]
5,[1.9811912999994092]
10,[3.1691927999991094]
10,[3.9788008000004993]
5,[2.011262500000157]
5,[1.8811961000001247]
10,[2.3497240999995483]
5,[3.147766899999624]
10,[1.7192544999998063]
10,[3.634971399999813]
10,[4.050704299999779]
10,[2.8641603999994913]
5,[3.4117559999995137]
5,[2.116246399999909]
10,[2.100931899999523]
5,[1.3633442999998806]
10,[2.732685599999968]
10,[3.743465899999137]
10,[1.225854999999683]
10,[1.7181652000008398]
5,[2.797062499999811]
10,[3.9158903999996255]
5,[1.6474226999998791]
5,[1.5316972999999052]
10,[1.8918421999997008]
10,[3.1842225999998846]
5,[1.5320937999995294]
5,[1.2150572000000466]
5,[1.9146657000001142]
10,[1.6544585999999981]
10,[2.393543599999248]
10,[6.12748719999945]
10,[1.4026223000000755]
5,[1.614724699999897]
5,[1.4973733000006177]
10,[1.729849400000603]
5,[1.7969111000002158]
5,[2.846564700000272]
5,[2.2097050000002127]
10,[2.7596677000001364]
10,[1.1849590000001626]
10,[1.401520100000198]
10,[1.5519763000002058]
10,[4.798642099999597]
10,[2.21753869999975]
10,[1.8262002999999822]
10,[1.587297000000035]
10,[2.642514299999675]
10,[2.3193098000001555]
10,[1.1524720999996134]
10,[1.2188819000002695]
5,[1.944987100000617]
10,[2.267251500000384]
5,[3.1302566000003935]
10,[1.8523642999998629]
10,[1.9187120999995386]
5,[2.746944700000313]
5,[3.296388000000661]
5,[2.9625230000001466]
10,[1.3523528000005172]
5,[2.030841199999486]
5,[1.8966927000001306]
10,[2.0864049000001614]
5,[2.195312699999704]
5,[2.5353187999999136]
10,[1.9173618000004353]
10,[2.0767054000007192]
5,[2.1227262000002156]
10,[2.4686217999997098]
5,[2.2136457000005976]
5,[1.731147499999679]
5,[1.7355274999999892]
10,[2.040869399999792]
5,[2.147064499999942]
5,[1.7808882999997877]
5,[3.979247000000214]
5,[1.8214116999997714]
5,[1.6975030000003244]
10,[2.184363399999711]
5,[2.5134319999997388]
5,[2.4137252000000444]
5,[2.118051800000103]
5,[2.1578526000002967]
5,[1.5472829999998794]
5,[1.8321585000003324]
10,[1.598804199999904]
5,[1.1479290000006586]
5,[2.7796206000002712]
5,[1.9299906999995073]
5,[1.8688236999996661]
5,[1.6958685999998124]
5,[1.4652287999997498]
10,[3.349919199999931]
5,[2.330411200000526]
10,[1.6199245999996492]
5,[1.8636121999998068]
10,[1.5684301999999661]
10,[2.253353699999934]
10,[1.3997282000000268]
5,[2.026426999999785]
5,[2.050313699999606]
10,[1.569471099999646]
5,[4.561709499999779]
5,[1.348976400000538]
10,[1.7832557000001543]
5,[2.0137714000002234]
10,[1.5532886999999391]
5,[2.4295038000000204]
10,[1.6508692000006704]
5,[1.8970205999994505]
10,[1.217797100000098]
5,[2.3800375999999233]
5,[1.3344355999997788]
10,[1.3344910000005257]
10,[1.4244347999992897]
10,[1.8236779999997452]
10,[2.6343714000004184]
5,[2.198245899999165]
5,[1.8356036999994103]
5,[2.25018480000017]
5,[1.6316602000006242]
5,[2.702942300000359]
10,[3.782259300000078]
10,[1.7706803999999465]
10,[1.5516844000003402]
5,[1.5143490999998903]
5,[1.6472907999996096]
10,[2.4004866000004768]
5,[1.5309852999998839]
5,[2.114078600000539]
10,[3.094997900000635]
10,[2.400641899999755]
5,[2.8479753999999957]
5,[1.9698175000003175]
10,[3.2373289999995905]
10,[2.535282599999846]
5,[2.463391999999658]
10,[2.8188812999997026]
10,[2.017886499999804]
10,[1.8204932999997254]
5,[1.9634732999993503]
10,[1.7849975999997696]
10,[4.2496586999996]
5,[2.1322024999999485]
5,[1.6839493000006769]
10,[2.0697565999998915]
10,[2.766732099999899]
5,[3.0106447999996817]
10,[2.0056713000003583]
5,[1.6600109000000884]
10,[2.907027399999606]
5,[1.5465129999993223]
10,[3.9204336000002513]
10,[1.635522800000217]
5,[1.7316681000002063]
5,[1.6467519999996512]
10,[2.070812900000419]
5,[1.6099074999992808]
10,[2.066928999999618]
5,[1.1124202999999397]
5,[2.2035794999992504]
10,[1.519742800000131]
10,[1.939141799999561]
5,[1.8471837000006417]
5,[1.3843403999999282]
10,[2.8064046999998027]
10,[1.4503056000003198]
10,[1.3010709000000134]
10,[1.2020613000004232]
10,[1.6385632000001351]
5,[1.4483997999996063]
5,[1.2133255999997345]
5,[2.113581499999782]
10,[2.635163900000407]
5,[2.695101600000271]
10,[2.4687228000002506]
10,[1.8991642000000866]
5,[1.280171500000506]
10,[2.4516914999994697]
10,[2.15647110000009]
5,[1.099562800000058]
10,[1.4839263999992909]
