SETS,,,,,,
10'S,,5'S,,,meanRT_5,meanRT_10
num_distr,mouse.time,num_distr,mouse.time,,,
10,2.4686218,5,1.8214117,,,
10,2.0408694,5,1.697503,,,
10,2.1843634,5,2.513432,,,
10,1.5988042,5,2.4137252,,,
10,3.3499192,5,2.1180518,,,
10,1.6199246,5,2.1578526,,,
10,1.5684302,5,1.547283,,,
10,2.2533537,5,1.8321585,,,
10,1.3997282,5,1.147929,,,
10,1.5694711,5,2.7796206,,,
10,1.7832557,5,1.9299907,,,
10,1.5532887,5,1.8688237,,,
10,1.6508692,5,1.6958686,,,
10,1.2177971,5,1.4652288,,,
10,1.334491,5,2.3304112,,,
10,1.4244348,5,1.8636122,,,
10,1.823678,5,2.026427,,,
10,2.6343714,5,2.0503137,,,
10,3.7822593,5,4.5617095,,,
10,1.7706804,5,1.3489764,,,
10,1.5516844,5,2.0137714,,,
10,2.4004866,5,2.4295038,,,
10,3.0949979,5,1.8970206,,,
10,2.4006419,5,2.3800376,,,
10,3.237329,5,1.3344356,,,
10,2.5352826,5,2.1982459,,,
10,2.8188813,5,1.8356037,,,
10,2.0178865,5,2.2501848,,,
10,1.8204933,5,1.6316602,,,
10,1.7849976,5,2.7029423,,,
10,4.2496587,5,1.5143491,,,
10,2.0697566,5,1.6472908,,,
10,2.7667321,5,1.5309853,,,
10,2.0056713,5,2.1140786,,,
10,2.9070274,5,2.8479754,,,
10,3.9204336,5,1.9698175,,,
10,1.6355228,5,2.463392,,,
10,2.0708129,5,1.9634733,,,
10,2.066929,5,2.1322025,,,
10,1.5197428,5,1.6839493,,,
10,1.9391418,5,3.0106448,,,
10,2.8064047,5,1.6600109,,,
10,1.4503056,5,1.546513,,,
10,1.3010709,5,1.7316681,,,
10,1.2020613,5,1.646752,,,
10,1.6385632,5,1.6099075,,,
10,2.6351639,5,1.1124203,,,
10,2.4687228,5,2.2035795,,,
10,1.8991642,5,1.8471837,,,
10,2.4516915,5,1.3843404,,,
10,2.1564711,5,1.4483998,,,
10,1.4839264,5,1.2133256,,,
10,1.1384995,5,2.1135815,,,
10,1.5514249,5,2.6951016,,,
10,2.0176548,5,1.2801715,,,
10,1.4686999,5,1.0995628,,,
10,1.2678305,5,1.4158359,,,
10,2.2183591,5,1.3801469,,,
10,2.7658761,5,1.6959992,,,
10,2.0183895,5,1.2973171,,,
10,3.0006258,5,0.9642361,,,
10,1.2860395,5,1.2644873,,,
10,1.6032777,5,1.4059247,,,
10,2.1455635,5,1.7043759,,,
10,1.3840478,5,1.0637889,,,
10,2.1676206,5,3.196228,,,
10,1.8812434,5,1.9136378,,,
10,3.8965636,5,3.2635732,,,
10,1.1841658,5,2.729509,,,
10,2.292393,5,1.2976841,,,
10,0.8467234,5,1.0265777,,,
10,1.0855978,5,1.4865616,,,
10,1.1079911,5,1.0950923,,,
10,1.8259452,5,1.1794936,,,
10,1.4382694,5,1.5303972,,,
10,2.4823232,5,1.2982831,,,
10,1.9504105,5,1.6713527,,,
10,1.4876728,5,1.5636587,,,
10,1.1841425,5,1.5806056,,,
10,1.801106,5,1.4816009,,,
10,2.6000634,5,1.297168,,,
10,1.7666602,5,1.413458,,,
10,1.2513553,5,2.2093786,,,
10,0.9168727,5,1.6790717,,,
10,1.0238136,5,1.063861,,,
10,1.9839516,5,1.5150033,,,
10,2.5369261,5,1.2474468,,,
10,2.3725581,5,1.0640764,,,
10,0.8238339,5,1.6634048,,,
10,1.5527818,5,1.5483277,,,
10,1.7860073,5,1.2572074,,,
10,2.5038555,5,1.0978216,,,
10,5.0323387,5,1.1952941,,,
10,1.6222354,5,1.2638161,,,
10,1.6764756,5,1.2811534,,,
10,1.268616,5,1.14711,,,
10,1.6324567,5,1.7977882,,,
10,1.4289295,5,1.5127814,,,
10,1.5858911,5,1.9129098,,,
10,1.2026402,5,1.3994428,,,
10,2.6042192,5,1.2791186,,,
10,1.4562395,5,1.1974718,,,
10,1.6013552,5,1.3806726,,,
10,1.5660877,5,1.0639606,,,
10,2.2698831,5,1.1160527,,,
10,1.0366472,5,1.2303404,,,
10,1.6213791,5,1.3976527,,,
10,2.1384958,5,1.5642395,,,
10,1.7059355,5,1.7625457,,,
10,1.8185383,5,1.2644249,,,
10,0.8353513,5,1.3312415,,,
10,3.6541601,5,1.195308,,,
10,1.5017517,5,1.5978291,,,
10,1.3854524,5,1.8295799,,,
10,2.3975282,5,1.7153698,,,
10,5.4084956,5,1.5790225,,,
10,1.3171351,5,1.2977498,,,
10,3.8982147,5,1.7297427,,,
10,1.5133361,5,1.7141008,,,
10,2.1519848,5,1.0641025,,,
10,3.1711902,5,1.5964846,,,
10,1.2788881,5,1.3937237,,,
10,0.9665139,5,2.5475046,,,
10,1.2843353,5,1.4475005,,,
10,1.4183916,5,1.7654484,,,
10,1.3618904,5,1.1665992,,,
10,1.5020207,5,1.7784114,,,
10,1.6708281,5,2.5791837,,,
10,0.7642704,5,0.998784,,,
10,2.001663,5,1.1747135,,,
10,1.6959907,5,1.0314596,,,
10,2.2888908,5,0.9477743,,,
10,4.2320634,5,1.5465397,,,
10,1.9433418,5,3.6633123,,,
10,2.7537445,5,3.9121299,,,
10,1.4875729,5,2.6627893,,,
10,1.8522333,5,1.6480966,,,
10,2.7541182,5,1.596853,,,
10,2.0280417,5,1.2303858,,,
10,4.2328377,5,2.1627843,,,
10,0.1784908,5,1.9776908,,,
10,1.4220718,5,1.4436986,,,
10,1.8357376,5,1.6523108,,,
10,4.7719015,5,1.735549,,,
10,1.6861262,5,1.9268049,,,
10,3.3093055,5,2.1756575,,,
10,2.0228707,5,2.0306645,,,
10,1.4988928,5,1.580687,,,
10,3.1874965,5,2.0636869,,,
10,2.2563283,5,1.4147495,,,
10,2.1246227,5,1.8293195,,,
10,2.3413881,5,2.1003757,,,
10,1.7166913,5,2.2944635,,,
10,3.0826477,5,1.663024,,,
10,2.3485202,5,2.0798075,,,
10,1.3755746,5,2.4161568,,,
10,1.8031641,5,2.1467364,,,
10,3.1086408,5,4.010795,,,
10,2.2254197,5,3.5613158,,,
10,2.6437131,5,2.3159822,,,
10,1.5026184,5,2.0966172,,,
10,1.9442107,5,1.6455113,,,
10,2.7720769,5,1.6641198,,,
10,2.4261294,5,0.8767738,,,
10,2.0142127,5,1.7493337,,,
10,1.6047928,5,1.5552511,,,
10,2.2227646,5,1.8541924,,,
10,2.4540395,5,2.5921895,,,
10,2.6668607,5,1.3960643,,,
10,3.2200507,5,1.8286915,,,
10,1.6794412,5,2.0945185,,,
10,1.3949924,5,2.1139039,,,
10,2.9590019,5,1.5575474,,,
10,1.6681753,5,1.5641439,,,
10,0.9439085,5,2.1111659,,,
10,1.6925943,5,1.5467905,,,
10,1.4122537,5,1.8792759,,,
10,1.9408008,5,1.2963171,,,
10,1.856894,5,1.4334515,,,
10,1.8164517,5,1.5292428,,,
10,1.7093505,5,1.1633053,,,
10,2.1443253,5,1.7115552,,,
10,2.8244496,5,2.2782555,,,
10,2.1275324,5,1.5101853,,,
10,3.1150504,5,1.396259,,,
10,1.7552533,5,2.3640052,,,
10,1.9847186,5,5.1107456,,,
10,2.3232899,5,5.0759694,,,
10,3.8346498,5,1.7544798,,,
10,2.3501944,5,1.2906099,,,
10,2.7771713,5,2.44428,,,
10,1.8267836,5,2.3117442,,,
10,2.5782787,5,2.4285088,,,
10,3.2007786,5,1.7305372,,,
10,1.7774501,5,1.7660452,,,
10,3.1486304,5,2.0967418,,,
10,1.7334902,5,1.6802896,,,
10,1.9597453,5,1.4308507,,,
10,2.5451415,5,1.6124539,,,
10,1.8795637,5,1.6637956,,,
10,1.8068455,5,2.4280267,,,
10,2.333843,5,1.5133217,,,
10,2.488662,5,2.9283291,,,
10,3.750596,5,2.4628124,,,
10,3.0526881,5,1.6803293,,,
10,2.9674653,5,2.1247216,,,
10,1.7358224,5,1.7459761,,,
10,2.2840188,5,2.0457697,,,
10,2.5237982,5,2.2442602,,,
10,2.383884,5,1.3626882,,,
10,2.2877766,5,1.4293766,,,
10,2.0943124,5,1.1477384,,,
10,2.7086166,5,1.4475339,,,
10,3.4800558,5,2.0795707,,,
10,1.3307302,5,1.9457817,,,
10,1.6115736,5,1.5289938,,,
10,2.8534113,5,2.526985,,,
10,2.3338548,5,1.247061,,,
10,2.214415,5,1.5293894,,,
10,0.1044907,5,1.546513,,,
10,1.9502302,5,1.3567838,,,
10,1.4101179,5,2.0939854,,,
10,3.2862894,5,1.5636977,,,
10,2.6000863,5,1.8464476,,,
10,1.8183339,5,2.8102328,,,
10,1.7540049,5,1.4960914,,,
10,1.8744795,5,1.7191505,,,
10,2.3896153,5,2.4461849,,,
10,1.8375701,5,1.6398139,,,
10,2.1366223,5,2.7953087,,,
10,1.8214066,5,2.0799851,,,
10,1.9403185,5,1.8630274,,,
10,2.1705171,5,1.8787862,,,
,,5,1.889154,,,
,,5,4.1614865,,,
,,5,1.2460719,,,
,,5,2.1440835,,,
