participant 1,reward_today,future_reward,delay,key_resp.keys,k,,participant 2,reward_today,future_reward,delay,key_resp.keys,k,,participant 3,reward_today,future_reward,delay,key_resp.keys,k,,participant 4,reward_today,future_reward,delay,key_resp.keys,k,
,40,55,62,t,0.006048387,,,40,55,62,t,0.006048387,,,40,55,62,t,0.225806452,,,40,55,62,t,0.241935484,
,40,55,62,t,0.006048387,,,40,55,62,t,0.006048387,,,40,55,62,t,0.225806452,,,40,55,62,t,0.241935484,
,40,55,62,t,0.006048387,,,40,55,62,t,0.006048387,,,40,55,62,t,0.225806452,,,40,55,62,t,0.241935484,
,40,55,62,t,0.006048387,,,40,55,62,t,0.006048387,,,40,55,62,t,0.225806452,,,40,55,62,t,0.241935484,
,40,55,62,t,0.006048387,,,40,55,62,t,0.006048387,,,40,55,62,l,0.225806452,,,40,55,62,t,0.241935484,
,40,55,62,t,0.006048387,,,40,55,62,t,0.006048387,,,40,55,62,t,0.225806452,,,40,55,62,l,0.241935484,
,40,55,62,t,0.006048387,,,40,55,62,t,0.006048387,,,40,55,62,t,0.225806452,,,40,55,62,t,0.241935484,
,40,55,62,t,0.006048387,,,40,55,62,t,0.006048387,,,40,55,62,t,0.225806452,,,40,55,62,t,0.241935484,
,40,55,62,t,0.006048387,,,40,55,62,t,0.006048387,,,40,55,62,t,0.225806452,,,40,55,62,t,0.241935484,
,40,55,62,t,0.006048387,,,40,55,62,t,0.006048387,,,40,55,62,t,0.225806452,,,40,55,62,t,0.241935484,
,40,55,62,t,0.006048387,,,40,55,62,t,0.006048387,,,40,55,62,t,0.225806452,,,40,55,62,t,0.241935484,
,40,55,62,t,0.006048387,,,40,55,62,t,0.006048387,,,40,55,62,t,0.225806452,,,40,55,62,t,0.241935484,
,40,55,62,t,0.006048387,,,40,55,62,t,0.006048387,0.015663621,,40,55,62,t,0.225806452,,,40,55,62,t,0.241935484,
,27,50,21,t,0.040564374,,,27,50,21,l,0.040564374,,,27,50,21,t,1.047619048,,,27,50,21,t,1.095238095,
,27,50,21,l,0.040564374,,,27,50,21,l,0.040564374,,,27,50,21,t,1.047619048,,,27,50,21,l,1.095238095,
,27,50,21,l,0.040564374,,,27,50,21,l,0.040564374,,,27,50,21,l,1.047619048,,,27,50,21,l,1.095238095,
