Study_word,test,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,c_s_,old,cushion,[0.03425925925925926],[-0.3194444444444444],[1],[0],[0],[5.161732999840751],['text_3'],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,l_pt_p,old,laptop,[0.028703703703703703],[-0.30648148148148147],[1],[0],[0],[6.374643800081685],['text_3'],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,_ou_se,old,mouse,[0.025],[-0.2916666666666667],[1],[0],[0],[4.1593782000709325],['text_3'],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,_ru_is_,old,cr,[],[],[],[],[],[],[],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,p_st_r,old,pastry,[0.008333333333333333],[-0.325],[1],[0],[0],[5.6608351999893785],['text_3'],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,ta_l_,new,table,[0.007407407407407408],[-0.29074074074074074],[1],[0],[0],[4.059179299976677],['text_3'],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,_a_bl_,old,table,[],[],[],[],[],[],[],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,p_as_tr_,old,pastry,[0.007407407407407408],[-0.29074074074074074],[1],[0],[0],[5.309980199905112],['text_3'],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,_ho_e,old,,[],[],[],[],[],[],[],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,c_m_ra,new ,camera,[0.007407407407407408],[-0.29074074074074074],[1],[0],[0],[4.644521499983966],['text_3'],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,c_s_io_,old,cas\\\,[],[],[],[],[],[],[],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,_ha_t,old,,[],[],[],[],[],[],[],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,t_hi_t,old,tshirt,[0.018518518518518517],[-0.29444444444444445],[1],[0],[0],[4.944157599937171],['text_3'],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,v_s_,new,vase,[0.018518518518518517],[-0.29444444444444445],[1],[0],[0],[6.740268099820241],['text_3'],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,bo_t_e,new,bottle,[0.018518518518518517],[-0.29444444444444445],[1],[0],[0],[3.9100756999105215],['text_3'],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,_o_rd,old,board,[0.018518518518518517],[-0.29444444444444445],[1],[0],[0],[6.1757062000688165],['text_3'],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,p_li_e,old,police,[0.018518518518518517],[-0.29444444444444445],[1],[0],[0],[4.360108699882403],['text_3'],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,_oo_,old,book,[0.018518518518518517],[-0.29444444444444445],[1],[0],[0],[3.3444866000209004],['text_3'],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,k_y_,old,keys,[0.018518518518518517],[-0.29444444444444445],[1],[0],[0],[5.242882800055668],['text_3'],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,p_nc_l,new,pencil,[0.018518518518518517],[-0.29444444444444445],[1],[0],[0],[5.109477800084278],['text_3'],1,1,2024-11-07_23h56.43.780,wordpriming,2024.1.5,None,2024-11-07 23h57.02.156738 +0530
,,,,,,,,,,,,,,,,,
,,primed words,0.5,,,,,,,,,,,,,,
,,non primed,0.25,,,,,,,,,,,,,,
,,priming score,0.25,,,,,,,,,,,,,,
