Study_word,test,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,p_st_r,old,pastry,"[-0.48518518518518516, 0.04537037037037037, 0.04537037037037037, 0.023148148148148147]","[-0.3111111111111111, 0.013888888888888888, 0.013888888888888888, -0.275]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.07328610005788505, 1.4212114000692964, 3.885719500016421, 4.818251400021836]",['text_3'],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,p_li_e,old,police,[0.012962962962962963],[-0.3101851851851852],[1],[0],[0],[4.476910699857399],['text_3'],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,v_s_,new,vase,[0.012962962962962963],[-0.3101851851851852],[1],[0],[0],[3.1759718998800963],['text_3'],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,_a_bl_,old,marble,[0.012962962962962963],[-0.3101851851851852],[1],[0],[0],[3.6282049000728875],['text_3'],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,ta_l_,new,table,[0.012962962962962963],[-0.3101851851851852],[1],[0],[0],[3.011721499962732],['text_3'],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,p_as_tr_,old,pastry,[0.012962962962962963],[-0.3101851851851852],[1],[0],[0],[3.3598873000591993],['text_3'],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,_ru_is_,old,cruise,[0.012962962962962963],[-0.3101851851851852],[1],[0],[0],[4.260191599838436],['text_3'],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,k_y_,old,keys,[0.012962962962962963],[-0.3101851851851852],[1],[0],[0],[4.127209500176832],['text_3'],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,l_pt_p,old,laptop,[0.012962962962962963],[-0.3101851851851852],[1],[0],[0],[3.6434647000860423],['text_3'],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,c_m_ra,new ,camera,[0.012962962962962963],[-0.3101851851851852],[1],[0],[0],[3.2440627000760287],['text_3'],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,p_nc_l,new,pencil,[0.012962962962962963],[-0.3101851851851852],[1],[0],[0],[3.7947974000126123],['text_3'],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,_oo_,old,book,[0.012962962962962963],[-0.3101851851851852],[1],[0],[0],[3.8948204000480473],['text_3'],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,_ha_t,old,chart,[],[],[],[],[],[],[],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,bo_t_e,new,bottle,[0.012962962962962963],[-0.3101851851851852],[1],[0],[0],[3.8951580999419093],['text_3'],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,c_s_io_,old,cushion,[0.012962962962962963],[-0.3101851851851852],[1],[0],[0],[6.624259599950165],['text_3'],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,_ho_e,old,phone,[],[],[],[],[],[],[],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,c_s_,old,,[0.012962962962962963],[-0.3101851851851852],[1],[0],[0],[0.1643169999588281],['text_3'],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,_o_rd,old,board,[],[],[],[],[],[],[],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,t_hi_t,old,tshirt,[0.012962962962962963],[-0.3101851851851852],[1],[0],[0],[3.3957856001798064],['text_3'],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,_ou_se,old,mouse,[0.012962962962962963],[-0.3101851851851852],[1],[0],[0],[4.759391600033268],['text_3'],2,1,2024-11-07_23h59.52.918,wordpriming,2024.1.5,None,2024-11-08 00h00.02.069403 +0530
,,,,,,,,,,,,,,,,,
,,primed words,0.65,,,,,,,,,,,,,,
,,non primed,0.25,,,,,,,,,,,,,,
,,priming score,0.4,,,,,,,,,,,,,,
